reader	antenna	det_type	date	time	date_time	time_zone	dur	tag_type	tag_code	consec_det	no_empt_scan_prior
dam	2	D	2016-04-13	00:27.0	2016-04-13 16:00	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	1166
dam	2	D	2016-04-13	00:28.2	2016-04-13 16:00	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-13	09:38.7	2016-04-13 16:09	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2732
dam	2	D	2016-04-13	11:23.5	2016-04-13 16:11	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	518
dam	2	D	2016-04-13	13:27.5	2016-04-13 16:13	America/Vancouver	00:01.2	HR	0000_0000000183225426	7	613
dam	2	D	2016-04-13	26:28.5	2016-04-13 16:26	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	3870
dam	2	D	2016-04-13	39:50.2	2016-04-13 16:39	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	3977
dam	2	D	2016-04-13	41:22.3	2016-04-13 16:41	America/Vancouver	00:01.6	HR	0000_0000000183225426	9	454
dam	2	D	2016-04-13	48:22.8	2016-04-13 16:48	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2079
dam	2	D	2016-04-13	16:03.6	2016-04-13 17:16	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	8244
dam	2	D	2016-04-13	17:59.8	2016-04-13 17:17	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	576
dam	2	D	2016-04-13	19:13.4	2016-04-13 17:19	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	362
dam	2	D	2016-04-13	19:29.5	2016-04-13 17:19	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	75
dam	2	D	2016-04-13	19:30.5	2016-04-13 17:19	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	2
dam	2	D	2016-04-13	28:14.8	2016-04-13 17:28	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2599
dam	2	D	2016-04-13	31:44.4	2016-04-13 17:31	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1038
dam	2	D	2016-04-13	36:07.7	2016-04-13 17:36	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1305
dam	2	D	2016-04-13	36:14.0	2016-04-13 17:36	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	29
dam	2	D	2016-04-13	39:11.6	2016-04-13 17:39	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	879
dam	2	D	2016-04-13	42:56.8	2016-04-13 17:42	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1114
dam	2	D	2016-04-13	48:08.7	2016-04-13 17:48	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1545
dam	2	D	2016-04-13	58:16.6	2016-04-13 17:58	America/Vancouver	00:01.4	HR	0000_0000000183225426	8	3017
dam	2	D	2016-04-13	03:34.4	2016-04-13 18:03	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1570
dam	2	D	2016-04-13	03:36.2	2016-04-13 18:03	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	8
dam	2	D	2016-04-13	04:19.9	2016-04-13 18:04	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	213
dam	2	D	2016-04-13	08:10.5	2016-04-13 19:08	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	19015
dam	2	D	2016-04-13	13:10.6	2016-04-13 19:13	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	1487
dam	2	D	2016-04-13	13:56.2	2016-04-13 19:13	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	221
dam	2	D	2016-04-13	16:22.0	2016-04-13 19:16	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	720
dam	2	D	2016-04-13	16:23.0	2016-04-13 19:16	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-13	19:22.5	2016-04-13 19:19	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	890
dam	2	D	2016-04-13	25:02.5	2016-04-13 19:25	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1687
dam	2	D	2016-04-13	25:02.9	2016-04-13 19:25	America/Vancouver	00:01.6	HR	0000_0000000183225426	9	1
dam	2	D	2016-04-13	26:43.6	2016-04-13 19:26	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	491
dam	2	D	2016-04-13	34:33.7	2016-04-13 19:34	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	2332
dam	2	D	2016-04-13	40:40.9	2016-04-13 19:40	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1819
dam	2	D	2016-04-13	42:57.6	2016-04-13 19:42	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	678
dam	2	D	2016-04-13	42:58.1	2016-04-13 19:42	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-13	47:24.2	2016-04-13 19:47	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1320
